ID;zoneId;system;name;num_vehicles;x_coordinate;y_coordinate
2719;40525;Stadtmobil;0;1;8,698999;48,89362
2722;40526;Stadtmobil;0;3;8,707975272;48,8936393
2717;40527;Stadtmobil;0;5;8,706557;48,89374
2757;40528;Stadtmobil;0;0;8,422005058;48,89724358
2724;40530;Stadtmobil;0;2;8,718895912;48,90144914
2758;40531;Stadtmobil;0;1;8,432162;48,91214
2726;40533;Stadtmobil;0;1;8,366174698;48,92457653
2737;40534;Stadtmobil;0;1;8,389595;48,92927
2747;40535;Stadtmobil;0;1;8,472077121;48,92985425
2749;40536;Stadtmobil;0;1;8,472;48,930288
2659;40537;Stadtmobil;0;1;8,270773;48,93195
2671;40540;Stadtmobil;0;1;8,279035091;48,94034121
2760;40541;Stadtmobil;0;2;8,401654;48,9408
2765;40542;Stadtmobil;0;1;8,411643505;48,94393983
2764;40543;Stadtmobil;0;0;8,410077;48,94537
2769;40544;Stadtmobil;0;2;8,396487;48,946029
2767;40545;Stadtmobil;0;1;8,410214552;48,94764561
2748;40546;Stadtmobil;0;2;8,402109417;48,94885632
2771;40547;Stadtmobil;0;2;8,384756359;48,95028246
2635;40548;Stadtmobil;0;2;8,399949074;48,96674704
2633;40549;Stadtmobil;0;3;8,404302;48,97373
2700;40550;Stadtmobil;0;1;8,452565464;48,97456214
2732;40551;Stadtmobil;0;1;8,307308;48,97563
2634;40553;Stadtmobil;0;3;8,409307;48,97785
2699;40554;Stadtmobil;0;1;8,462369442;48,98018882
2676;40556;Stadtmobil;0;3;8,392626643;48,98260284
2795;40558;Stadtmobil;0;5;8,398889;48,98445
2675;40559;Stadtmobil;0;4;8,390802;48,98476
2793;40560;Stadtmobil;0;2;8,37631;48,98647
2677;40561;Stadtmobil;0;2;8,394712;48,986453
2812;40563;Stadtmobil;0;1;8,476381302;48,98734252
2794;40565;Stadtmobil;0;1;8,380208015;48,98987705
2791;40566;Stadtmobil;0;0;8,392097;48,991048
2550;40567;Stadtmobil;2;3;8,401703914;48,99112553
2658;40568;Stadtmobil;0;5;8,397771;48,99174
2790;40569;Stadtmobil;0;2;8,392438889;48,99201722
2539;40572;Stadtmobil;1;2;8,398919945;48,99370724
2653;40572;Stadtmobil;0;6;8,397738;48,99312
2552;40573;Stadtmobil;3;5;8,405570538;48,99324325
2665;40574;Stadtmobil;0;7;8,403481039;48,9932631
2817;40575;Stadtmobil;0;3;8,451923;48,993559
2818;40575;Stadtmobil;0;1;8,451745;48,992991
2802;40576;Stadtmobil;0;2;8,466068;48,99378
2830;40578;Stadtmobil;0;1;8,352270126;48,9949598
2805;40580;Stadtmobil;0;11;8,472663;48,99681
2664;40582;Stadtmobil;0;13;8,3859984;48,99736532
2811;40583;Stadtmobil;0;1;8,478376865;48,99774735
2538;40584;Stadtmobil;0;4;8,37143717;48,9978713
2813;40585;Stadtmobil;0;1;8,469214439;48,99788813
2662;40586;Stadtmobil;0;4;8,399206102;48,99822248
2643;40587;Stadtmobil;0;6;8,409747;48,99761
2646;40587;Stadtmobil;0;16;8,410227;48,99861
2797;40588;Stadtmobil;0;1;8,336526901;48,99878032
2640;40589;Stadtmobil;0;3;8,415279699;48,99990943
2641;40590;Stadtmobil;0;5;8,420459422;49,00028119
2661;40591;Stadtmobil;0;12;8,385711908;49,00088667
2639;40592;Stadtmobil;0;2;8,415296083;49,00086552
2807;40593;Stadtmobil;0;0;8,476477;49,00099
2808;40594;Stadtmobil;0;5;8,470330238;49,00110722
2821;40595;Stadtmobil;0;1;8,352551;49,00138
2636;40596;Stadtmobil;0;3;8,414647579;49,0018838
2815;40597;Stadtmobil;0;2;8,480213674;49,00186136
2644;40598;Stadtmobil;0;6;8,41252;49,00201
2796;40600;Stadtmobil;0;2;8,336321;49,00292
2654;40602;Stadtmobil;0;3;8,396282;49,0032
2823;40604;Stadtmobil;0;4;8,355529009;49,0039807
2660;40605;Stadtmobil;0;3;8,401215076;49,00458885
2650;40606;Stadtmobil;0;7;8,405658992;49,00458693
2603;40607;Stadtmobil;0;2;8,423773;49,004849
2618;40608;Stadtmobil;0;2;8,425548077;49,00544749
2698;40609;Stadtmobil;0;6;8,383757943;49,00567536
2822;40610;Stadtmobil;0;2;8,356491;49,00607
2620;40612;Stadtmobil;0;8;8,421363831;49,00649614
2697;40613;Stadtmobil;0;2;8,3847189;49,00665094
2621;40614;Stadtmobil;0;2;8,419875226;49,00713686
2752;40615;Stadtmobil;0;1;8,609665;49,007482
2565;40616;Stadtmobil;0;20;8,401177;49,00831
2566;40617;Stadtmobil;0;16;8,393109;49,00836
2678;40618;Stadtmobil;0;2;8,382517;49,00871
2609;40619;Stadtmobil;0;9;8,435219353;49,00883681
2680;40620;Stadtmobil;0;11;8,385939;49,00913
2617;40621;Stadtmobil;0;0;8,422432;49,009624
2622;40622;Stadtmobil;0;4;8,427457;49,009567
2605;40623;Stadtmobil;0;3;8,427272;49,00969
2832;40624;Stadtmobil;0;1;8,41583;49,00979
2577;40626;Stadtmobil;0;4;8,362196;49,01036
2696;40628;Stadtmobil;0;9;8,372375965;49,01085765
2751;40630;Stadtmobil;0;1;8,610985279;49,01096027
2570;40631;Stadtmobil;0;3;8,398027112;49,01114466
